issue_month,industry,bond_sym_id
2005-01,Insurance,5
2005-01,Trading,3
2005-02,Banking,3
2005-02,Construction,3
2005-02,Insurance,9
2005-03,Insurance,10
2005-03,Petroleum and Natural Gas,9
2005-03,Trading,3
2005-03,Utilities,6
2005-04,Insurance,6
2005-04,Trading,6
2005-05,Banking,3
2005-05,Insurance,10
2005-05,Petroleum and Natural Gas,4
2005-06,Communication,3
2005-06,Construction,3
2005-06,Insurance,12
2005-06,Trading,3
2005-06,Utilities,6
2005-07,Banking,3
2005-07,Insurance,3
2005-08,Banking,4
2005-08,Business Supplies,3
2005-08,Communication,4
2005-08,Printing and Publishing,4
2005-08,Utilities,5
2005-09,Insurance,11
2005-09,Trading,6
2005-10,Banking,3
2005-10,Insurance,5
2005-10,Machinery,3
2005-11,Insurance,7
2005-11,Petroleum and Natural Gas,3
2005-11,Trading,3
2005-12,Banking,4
2005-12,Insurance,4
2005-12,Trading,3
2006-01,Electrical Equipment,3
2006-01,Insurance,8
2006-02,Pharmaceutical Products,3
2006-03,Business Services,3
2006-03,Communication,3
2006-03,Insurance,10
2006-03,Trading,4
2006-04,Insurance,6
2006-05,Communication,5
2006-05,Insurance,3
2006-05,Utilities,3
2006-06,Banking,3
2006-06,Insurance,10
2006-07,Insurance,4
2006-07,Trading,3
2006-08,Banking,6
2006-08,Healthcare,3
2006-08,Insurance,6
2006-08,Petroleum and Natural Gas,3
2006-08,Trading,3
2006-08,Utilities,3
2006-09,Banking,11
2006-09,Insurance,9
2006-09,Trading,6
2006-10,Banking,4
2006-10,Insurance,12
2006-10,Petroleum and Natural Gas,4
2006-10,Retail,5
2006-11,Business Services,3
2006-11,Communication,5
2006-11,Electrical Equipment,3
2006-11,Insurance,6
2006-11,Pharmaceutical Products,4
2006-11,Trading,4
2006-12,Banking,10
2006-12,Chemicals,3
2006-12,Insurance,9
2006-12,Tobacco Products,4
2006-12,Trading,3
2007-01,Insurance,7
2007-01,Petroleum and Natural Gas,3
2007-01,Steelworks Etc,4
2007-01,Trading,5
2007-02,Banking,8
2007-02,Insurance,6
2007-02,Retail,3
2007-03,Banking,9
2007-03,Electrical Equipment,5
2007-03,Insurance,18
2007-03,Petroleum and Natural Gas,5
2007-03,Pharmaceutical Products,6
2007-03,Trading,5
2007-03,Utilities,3
2007-04,Electrical Equipment,5
2007-04,Insurance,10
2007-04,Petroleum and Natural Gas,5
2007-04,Retail,4
2007-04,Trading,3
2007-04,Transportation,5
2007-05,Banking,6
2007-05,Communication,5
2007-05,Insurance,5
2007-05,Petroleum and Natural Gas,4
2007-05,Retail,5
2007-05,Steelworks Etc,5
2007-05,Trading,4
2007-06,Banking,8
2007-06,Business Services,4
2007-06,Chemicals,5
2007-06,Construction Materials,3
2007-06,Electrical Equipment,3
2007-06,Healthcare,3
2007-06,Insurance,8
2007-06,Petroleum and Natural Gas,5
2007-06,Trading,3
2007-06,Utilities,8
2007-07,Banking,4
2007-07,Business Services,3
2007-07,Insurance,11
2007-07,Medical Equipment,3
2007-07,Petroleum and Natural Gas,6
2007-07,Precious Metals,3
2007-07,Retail,3
2007-08,Banking,9
2007-08,Communication,3
2007-08,Food Products,4
2007-08,Insurance,9
2007-08,Pharmaceutical Products,3
2007-08,Retail,4
2007-08,Trading,4
2007-08,Transportation,3
2007-09,Banking,12
2007-09,Chemicals,3
2007-09,Insurance,9
2007-09,Petroleum and Natural Gas,4
2007-09,Pharmaceutical Products,3
2007-09,Retail,5
2007-09,Trading,5
2007-09,Transportation,4
2007-10,Banking,5
2007-10,Communication,7
2007-10,Insurance,12
2007-10,"Restaurants, Hotels, Motels",7
2007-10,Trading,5
2007-11,Banking,6
2007-11,Business Services,3
2007-11,Insurance,8
2007-11,Pharmaceutical Products,3
2007-11,Printing and Publishing,3
2007-12,Banking,13
2007-12,Communication,3
2007-12,Electrical Equipment,7
2007-12,Food Products,5
2007-12,Insurance,12
2007-12,Non-Metallic and Industrial Metal Mining,3
2007-12,Petroleum and Natural Gas,8
2007-12,Retail,5
2007-12,Steelworks Etc,4
2007-12,Utilities,3
2008-01,Banking,4
2008-01,Insurance,3
2008-01,Petroleum and Natural Gas,4
2008-01,Retail,4
2008-01,Transportation,4
2008-02,Communication,5
2008-02,Insurance,13
2008-02,Wholesale,4
2008-03,Banking,6
2008-03,Chemicals,4
2008-03,Computers,3
2008-03,Consumer Goods,3
2008-03,Electrical Equipment,4
2008-03,Food Products,3
2008-03,Insurance,8
2008-03,Petroleum and Natural Gas,6
2008-03,Retail,4
2008-03,Transportation,4
2008-03,Utilities,7
2008-03,Wholesale,6
2008-04,Banking,8
2008-04,Business Services,4
2008-04,Communication,5
2008-04,Insurance,7
2008-04,Petroleum and Natural Gas,5
